DATE,STATE_CD,PREDICTION,
8-Aug,AN,113,
8-Aug,AP,10254,
8-Aug,AR,90,
8-Aug,AS,2460,
8-Aug,BR,3484,
8-Aug,CH,53,
8-Aug,CT,332,
8-Aug,DD,45,
8-Aug,DL,1000,
8-Aug,GA,303,
8-Aug,GJ,1127,
8-Aug,HP,84,
8-Aug,HR,747,
8-Aug,JH,873,
8-Aug,JK,507,
8-Aug,KA,6420,
8-Aug,KL,1227,
8-Aug,LA,30,
8-Aug,MH,10127,
8-Aug,ML,28,
8-Aug,MN,145,
8-Aug,MP,792,
8-Aug,MZ,18,
8-Aug,NL,105,
8-Aug,OR,1784,
8-Aug,PB,994,
8-Aug,PY,223,
8-Aug,RJ,1175,
8-Aug,SK,20,
8-Aug,TG,2150,
8-Aug,TN,5987,
8-Aug,TR,135,
8-Aug,UP,4412,
8-Aug,UT,264,
8-Aug,WB,2896,
9-Aug,AN,118,
9-Aug,AP,10388,
9-Aug,AR,90,
9-Aug,AS,2518,
9-Aug,BR,3501,
9-Aug,CH,56,
9-Aug,CT,336,
9-Aug,DD,46,
9-Aug,DL,993,
9-Aug,GA,310,
9-Aug,GJ,1130,
9-Aug,HP,85,
9-Aug,HR,750,
9-Aug,JH,861,
9-Aug,JK,514,
9-Aug,KA,6515,
9-Aug,KL,1253,
9-Aug,LA,26,
9-Aug,MH,10609,
9-Aug,ML,29,
9-Aug,MN,151,
9-Aug,MP,873,
9-Aug,MZ,18,
9-Aug,NL,112,
9-Aug,OR,1816,
9-Aug,PB,1037,
9-Aug,PY,234,
9-Aug,RJ,1192,
9-Aug,SK,21,
9-Aug,TG,2189,
9-Aug,TN,6093,
9-Aug,TR,141,
9-Aug,UP,4571,
9-Aug,UT,272,
9-Aug,WB,2939,
10-Aug,AN,123,
10-Aug,AP,10520,
10-Aug,AR,91,
10-Aug,AS,2610,
10-Aug,BR,3603,
10-Aug,CH,59,
10-Aug,CT,332,
10-Aug,DD,46,
10-Aug,DL,957,
10-Aug,GA,321,
10-Aug,GJ,1123,
10-Aug,HP,84,
10-Aug,HR,754,
10-Aug,JH,955,
10-Aug,JK,508,
10-Aug,KA,6494,
10-Aug,KL,1279,
10-Aug,LA,27,
10-Aug,MH,9919,
10-Aug,ML,30,
10-Aug,MN,158,
10-Aug,MP,810,
10-Aug,MZ,19,
10-Aug,NL,122,
10-Aug,OR,1854,
10-Aug,PB,1084,
10-Aug,PY,244,
10-Aug,RJ,1208,
10-Aug,SK,21,
10-Aug,TG,2229,
10-Aug,TN,6135,
10-Aug,TR,143,
10-Aug,UP,4570,
10-Aug,UT,263,
10-Aug,WB,2981,
11-Aug,AN,127,
11-Aug,AP,10651,
11-Aug,AR,91,
11-Aug,AS,2694,
11-Aug,BR,3758,
11-Aug,CH,61,
11-Aug,CT,356,
11-Aug,DD,46,
11-Aug,DL,1024,
11-Aug,GA,330,
11-Aug,GJ,1133,
11-Aug,HP,83,
11-Aug,HR,757,
11-Aug,JH,948,
11-Aug,JK,514,
11-Aug,KA,6738,
11-Aug,KL,1303,
11-Aug,LA,33,
11-Aug,MH,9703,
11-Aug,ML,31,
11-Aug,MN,164,
11-Aug,MP,809,
11-Aug,MZ,19,
11-Aug,NL,134,
11-Aug,OR,1913,
11-Aug,PB,1131,
11-Aug,PY,252,
11-Aug,RJ,1225,
11-Aug,SK,21,
11-Aug,TG,2269,
11-Aug,TN,6164,
11-Aug,TR,143,
11-Aug,UP,4704,
11-Aug,UT,279,
11-Aug,WB,3023,
12-Aug,AN,132,
12-Aug,AP,10780,
12-Aug,AR,93,
12-Aug,AS,2752,
12-Aug,BR,3936,
12-Aug,CH,64,
12-Aug,CT,345,
12-Aug,DD,47,
12-Aug,DL,1059,
12-Aug,GA,340,
12-Aug,GJ,1142,
12-Aug,HP,84,
12-Aug,HR,760,
12-Aug,JH,985,
12-Aug,JK,523,
12-Aug,KA,6832,
12-Aug,KL,1328,
12-Aug,LA,30,
12-Aug,MH,10833,
12-Aug,ML,32,
12-Aug,MN,170,
12-Aug,MP,834,
12-Aug,MZ,19,
12-Aug,NL,145,
12-Aug,OR,1973,
12-Aug,PB,1179,
12-Aug,PY,263,
12-Aug,RJ,1243,
12-Aug,SK,21,
12-Aug,TG,2309,
12-Aug,TN,6271,
12-Aug,TR,148,
12-Aug,UP,4901,
12-Aug,UT,293,
12-Aug,WB,3066,
13-Aug,AN,137,
13-Aug,AP,10907,
13-Aug,AR,95,
13-Aug,AS,2825,
13-Aug,BR,4126,
13-Aug,CH,66,
13-Aug,CT,381,
13-Aug,DD,47,
13-Aug,DL,1083,
13-Aug,GA,351,
13-Aug,GJ,1150,
13-Aug,HP,86,
13-Aug,HR,764,
13-Aug,JH,982,
13-Aug,JK,514,
13-Aug,KA,7096,
13-Aug,KL,1356,
13-Aug,LA,27,
13-Aug,MH,11315,
13-Aug,ML,33,
13-Aug,MN,177,
13-Aug,MP,839,
13-Aug,MZ,20,
13-Aug,NL,153,
13-Aug,OR,2091,
13-Aug,PB,1227,
13-Aug,PY,272,
13-Aug,RJ,1262,
13-Aug,SK,21,
13-Aug,TG,2349,
13-Aug,TN,6441,
13-Aug,TR,151,
13-Aug,UP,5057,
13-Aug,UT,292,
13-Aug,WB,3108,
14-Aug,AN,142,
14-Aug,AP,11031,
14-Aug,AR,97,
14-Aug,AS,2871,
14-Aug,BR,4381,
14-Aug,CH,69,
14-Aug,CT,407,
14-Aug,DD,48,
14-Aug,DL,1108,
14-Aug,GA,362,
14-Aug,GJ,1152,
14-Aug,HP,84,
14-Aug,HR,770,
14-Aug,JH,1047,
14-Aug,JK,532,
14-Aug,KA,7084,
14-Aug,KL,1382,
14-Aug,LA,31,
14-Aug,MH,11071,
14-Aug,ML,34,
14-Aug,MN,183,
14-Aug,MP,847,
14-Aug,MZ,20,
14-Aug,NL,156,
14-Aug,OR,2243,
14-Aug,PB,1278,
14-Aug,PY,281,
14-Aug,RJ,1282,
14-Aug,SK,21,
14-Aug,TG,2389,
14-Aug,TN,6531,
14-Aug,TR,150,
14-Aug,UP,5360,
14-Aug,UT,302,
14-Aug,WB,3150,
15-Aug,AN,147,
15-Aug,AP,11155,
15-Aug,AR,99,
15-Aug,AS,2835,
15-Aug,BR,4643,
15-Aug,CH,71,
15-Aug,CT,364,
15-Aug,DD,48,
15-Aug,DL,1123,
15-Aug,GA,369,
15-Aug,GJ,1155,
15-Aug,HP,84,
15-Aug,HR,774,
15-Aug,JH,1074,
15-Aug,JK,515,
15-Aug,KA,7166,
15-Aug,KL,1410,
15-Aug,LA,33,
15-Aug,MH,11160,
15-Aug,ML,35,
15-Aug,MN,189,
15-Aug,MP,853,
15-Aug,MZ,21,
15-Aug,NL,162,
15-Aug,OR,2401,
15-Aug,PB,1327,
15-Aug,PY,292,
15-Aug,RJ,1303,
15-Aug,SK,21,
15-Aug,TG,2429,
15-Aug,TN,6713,
15-Aug,TR,149,
15-Aug,UP,5572,
15-Aug,UT,301,
15-Aug,WB,3193,
16-Aug,AN,152,
16-Aug,AP,11276,
16-Aug,AR,102,
16-Aug,AS,2915,
16-Aug,BR,4607,
16-Aug,CH,75,
16-Aug,CT,375,
16-Aug,DD,49,
16-Aug,DL,1109,
16-Aug,GA,380,
16-Aug,GJ,1158,
16-Aug,HP,88,
16-Aug,HR,779,
16-Aug,JH,1052,
16-Aug,JK,535,
16-Aug,KA,7260,
16-Aug,KL,1435,
16-Aug,LA,31,
16-Aug,MH,11373,
16-Aug,ML,36,
16-Aug,MN,195,
16-Aug,MP,939,
16-Aug,MZ,21,
16-Aug,NL,163,
16-Aug,OR,2581,
16-Aug,PB,1377,
16-Aug,PY,302,
16-Aug,RJ,1326,
16-Aug,SK,21,
